pgc,Name,J2000,UGC/AGC,Alt_Name,RAJ,DeJ,Ty,r23.5,r83L,mu_out,ell,e_ell,PA,e_PA,tf,Wtf,e_Wtf,m_obs,e_m,m_c,M_I,e_MI,gamma,inc,Vcmb,Vpec,e_Vp,Dist,Vp_b,e_Vpb,D_bias,Gp_ID,O/H,Theta,Cluster,mem,RAJg,DeJg,Vcmbg,e_Vg,Ng,Na,Vpg,e_Vpg,Dg,Vpg_b,e_Vpgb,Dg_b,Int_ID
4,PGC000004,J000003.4+230516,331060,478-009b,"00 00 03.4","+23 05 15",5,24.7,21.7,23.43,0.762,0.009,64,2,,2.182,0.011,15.20,0.05,14.63,-18.44,0.10,0.50,78.4,4113,160,951,3909,-573,721,4642,40353,H,,,,"00 02 12.0","+22 57 04",4069,1,2,5,187,697,3882,-614,523,4683,
55,UGC12898,J000037.4+333604,12898,,"00 00 37.4","+33 36 02",5,21.4,20.5,24.27,0.646,0.035,11,5,,2.270,0.011,15.23,0.05,14.81,-18.49,0.09,0.50,70.6,4456,-1310,1348,5848,-1347,1376,5885,40612,H,,,,"00 02 09.9","+33 53 43",4538,2,1,3,-1310,1348,5848,-1347,1376,5885,
70,UGC12900,J000056.0+202017,12900,456-015,"00 00 55.9","+20 20 17",5,46.3,37.4,24.30,0.820,0.009,110,1,,2.618,0.004,13.73,0.04,12.90,-21.16,0.14,1.00,82.8,6452,-2104,1585,8528,-1376,1657,7800,41035,H,,,,"00 00 47.2","+20 11 54",6424,2,1,2,-2104,1585,8528,-1376,1657,7800,
73,ESO349-017,J000058.6-333643,36544,"349 G 17","00 00 57.7","-33 36 47",5,35.3,29.3,25.41,0.219,0.110,120,12,,2.336,0.097,12.91,0.05,12.79,-21.35,0.08,1.00,39.0,6639,3720,1240,2919,3991,1689,2648,,H,,,,,,,,,,,,,,,,
76,UGC12901,J000058.9+285442,12901,499-035,"00 00 58.9","+28 54 41",3,41.5,32.1,24.30,0.570,0.042,46,1,,2.611,0.011,12.84,0.02,12.56,-21.59,0.06,1.00,67.1,6559,219,1174,6462,308,1444,6373,40609,H,,,,"23 58 47.3","+29 22 08",6681,6,1,3,219,1174,6462,308,1444,6373,
124,UGC12913,J000136.6+033020,12913,M+001018,"00 01 36.7","+03 30 21",5,38.0,37.3,23.37,0.817,0.009,5,1,,2.384,0.008,14.62,0.08,13.93,-19.97,0.15,0.86,82.5,5979,89,1298,5890,125,1302,5854,,H,,,,,,,,,,,,,,,,
145,ESO409-004,J000157.2-275958,36558,"409 G  4","00 01 57.6","-27 59 53",3,33.4,29.4,23.71,0.614,0.015,56,1,,2.584,0.015,13.78,0.05,13.53,-21.38,0.08,1.00,70.3,9427,195,1763,9232,470,1440,8957,,O,,,,,,,,,,,,,,,,
165,UGC12920,J000223.1+271238,12920,478-014,"00 02 23.0","+27 12 38",4,33.9,28.5,24.14,0.737,0.020,49,1,,2.449,0.012,14.24,0.04,13.61,-20.72,0.12,1.00,76.7,7271,860,1346,6411,851,1477,6420,,H,,,,,,,,,,,,,,,,
176,PGC000176,J000234.8-034238,400001,M-101024,"00 02 34.7","-03 42 37",4,31.6,23.2,23.83,0.439,0.094,0,4,,2.598,0.034,12.90,0.02,12.67,-21.29,0.06,1.00,56.6,6110,-988,1545,7098,-357,1339,6467,,H,,,,,,,,,,,,,,,,
179,PGC000179,J000239.9+084415,100002,408-013,"00 02 39.8","+08 44 13",3,32.7,22.1,24.58,0.734,0.012,23,1,,2.474,0.021,13.61,0.02,13.06,-20.53,0.11,1.00,79.7,5178,-96,1138,5274,-140,1072,5318,,H,,,,,,,,,,,,,,,,
186,UGC00003,J000246.4+185311,3,456-021,"00 02 46.3","+18 53 09",1,44.8,34.3,24.59,0.558,0.027,81,3,,2.692,0.007,12.66,0.04,12.43,-21.98,0.07,1.06,66.3,7533,398,1204,7135,874,1362,6659,,H,,,,,,,,,,,,,,,,
201,UGC00004,J000257.0+041234,4,408-014,"00 02 56.9","+04 12 32",4,26.2,19.4,24.10,0.374,0.027,157,2,,2.577,0.017,13.47,0.03,13.28,-21.33,0.06,1.00,51.9,8272,-498,1683,8770,269,2143,8003,,H,,,,,,,,,,,,,,,,
205,UGC00005,J000305.6-015450,5,382-021,"00 03 05.6","-01 54 51",4,47.0,31.5,24.08,0.505,0.031,45,3,,2.715,0.017,12.26,0.02,12.00,-22.23,0.06,1.15,61.2,6933,-1053,1393,7986,-190,1410,7123,,H,,,,,,,,,,,,,,,,
218,NGC7814,J000315.0+160844,8,N7814,"00 03 14.8","+16 08 44",2,200.2,105.0,23.62,0.508,0.020,134,0,,2.708,0.005,9.18,0.02,8.94,-19.60,0.06,0.71,62.7,695,-1016,251,1527,-1025,309,1536,30004,H,,,,"00 08 46.3","+16 08 44",511,1,1,7,-1015,251,1526,-1025,309,1536,1211
226,UGC00010,J000320.5+083709,10,408-015,"00 03 20.5","+08 37 07",5,42.0,45.2,23.91,0.189,0.073,175,12,,2.592,0.077,12.69,0.07,12.48,-22.88,0.08,1.30,36.2,11584,5241,2149,6343,6039,1608,5545,,H,,,,,,,,,,,,,,,,
250,UGC00014,J000335.0+231203,14,478-019,"00 03 35.1","+23 12 01",5,54.2,49.2,23.93,0.402,0.009,32,2,,2.605,0.008,12.33,0.05,12.00,-22.22,0.08,1.15,53.9,6908,1533,977,5375,1510,980,5398,,H,,,,,,,,,,,,,,,,
