expression,description,parameters,complexity,mse,rmse,r2,performance,n_test
a + b * log_v,Linear TF (log v),"{'a': -10.0, 'b': -5.1090211901206155}",6,0.32813132334258255,0.5728274813087991,0.854996302145959,0.794996302145959,200
a - b * log_v + c * log_M_star,TF + stellar mass,"{'a': -10.0, 'b': 3.7261381818616073, 'c': -0.31396579398239244}",12,0.26998558754622715,0.5196013736954774,0.8890702069684469,0.7690702069684469,200
a - b * log_v + c * log_v * log_v,TF + velocity squared,"{'a': -10.0, 'b': 6.202613310891107, 'c': 0.42281989791317703}",14,0.20258371653319185,0.450093008758403,0.9020189761761839,0.7620189761761839,200
a - b * log_v + c * log_v * log_v,TF + quadratic velocity,"{'a': -10.0, 'b': 6.202646563641797, 'c': 0.42232473112665436}",14,0.2306172105556124,0.480226207693429,0.8901505491388738,0.7501505491388738,200
a - b * log_v + c * log_D,TF + distance,"{'a': -10.0, 'b': 4.682960540819723, 'c': -0.7272292965957752}",11,0.3002516918307888,0.5479522714897611,0.8596714728919871,0.7496714728919871,200
a - b * log_v,Classic TF,"{'a': -10.0, 'b': 5.108272380138661}",6,0.4207724364436668,0.6486697437399611,0.7997820145783953,0.7397820145783953,200
a - b * log_v_obs,Classic TF (observed),"{'a': -10.0, 'b': 5.1095533264608735}",7,0.4142152759048108,0.6435955841246976,0.8058945725375672,0.7358945725375672,200
a - b * log_v + c * log_M_star + d * log_D,TF + mass + distance,"{'a': -10.0, 'b': 3.811680990795841, 'c': -0.2442201738213214, 'd': -0.3847031160882222}",17,0.274382125074566,0.5238149721748759,0.8698036030354749,0.6998036030354748,200
a - b * log_v + c * log_v * log_M_star,TF + velocity-mass interaction,"{'a': -10.0, 'b': 6.412426376226987, 'c': 0.11522476460859256}",15,0.32969476557111976,0.574190530722268,0.8428112434619046,0.6928112434619046,200
a - b * log_v + c * log_M_star + d * log_v * log_v,TF + mass + velocity²,"{'a': -9.985303444332216, 'b': 6.5675486578616145, 'c': 0.09060315426948487, 'd': 0.4039295644783322}",20,0.2682496579689295,0.517928236311682,0.8666041868495591,0.6666041868495591,200
a - b * log_v + c * log_M_star + d * log_D + e * log_v * log_v,Full systematic model,"{'a': -9.246341343239926, 'b': 6.802640210215011, 'c': -0.000783437206450238, 'd': 0.1533518222434527, 'e': 0.5078984397543357}",25,0.2420503081716255,0.4919860853435039,0.8845739890014221,0.6345739890014221,200
a + b * log_v_obs,Linear TF (log v_obs),"{'a': -8.174227333421712, 'b': -5.792070770026596}",7,0.5574870177776301,0.7466505325636821,0.6760402145978759,0.6060402145978758,200
a + b * log_v * log_v,Power law TF,"{'a': -6.659618318446034, 'b': -2.332646726260014}",9,9.184746255908808,3.030634629233423,-3.8667833491259556,-3.9567833491259554,200
a - b * v_norm + c * D_norm,Normalized TF + distance,"{'a': -10.0, 'b': 1.342690861949168, 'c': -6.409367953800217}",9,32.67280395712853,5.716012942351385,-11.634863687422904,-11.724863687422904,200
a + b * v_norm + c * v_norm * v_norm,Quadratic normalized TF,"{'a': -10.0, 'b': -5.505443184396822, 'c': 0.24650333225873924}",11,43.443677481741254,6.59118179704833,-16.609315535650172,-16.71931553565017,200
a + b * v_norm,Linear TF (v normalized),"{'a': -10.0, 'b': -2.504890746963509}",5,76.53100660551593,8.748200192354764,-30.010362839957065,-30.060362839957065,200
a - b * v_norm + c * M_star_norm,Normalized TF + mass,"{'a': -10.0, 'b': 2.589680135289417, 'c': 8.027081192661905e-05}",10,83.55598861538074,9.140896488604428,-37.203690896319266,-37.30369089631927,200
a - b * v_norm,Classic TF (normalized),"{'a': -10.0, 'b': 2.493703767835833}",5,85.5719661214026,9.250511668086398,-45.87163325629147,-45.921633256291464,200
a * v_norm,Linear power TF (normalized),{'a': -4.264530513512986},3,273.36589579788614,16.533780444831308,-141.49114525743863,-141.52114525743863,200
