Complexity,Loss,Equation
1,2.4183793,"-22.86303"
3,1.4948723,"-20.376057 - log_observed_velocity"
4,0.2672556,"sqrt(log_observed_velocity) * -14.527142"
5,0.23247305,"(log_observed_velocity * -4.165768) + -12.502329"
7,0.23121695,"((sin_inclination + log_observed_velocity) * -4.197619) + -12.362276"
8,0.23088919,"(log(observed_velocity_norm + 0.058913615) / -0.52936757) + -21.959383"
9,0.22807044,"((log_observed_velocity + (sin_inclination * observed_velocity_norm)) * -4.004966) + -12.799664"
11,0.22795066,"((((observed_velocity_norm * sin_inclination) ^ 0.9095054) + log_observed_velocity) * -3.9674828) + -12.856682"
12,0.22743663,"log(log_observed_velocity) + (((log_observed_velocity ^ (observed_velocity_norm ^ sin_inclination)) * -4.296377) + -13.011824)"
13,0.22693622,"(sin_inclination ^ ((log_observed_velocity * sin_inclination) * observed_velocity_norm)) + ((log_observed_velocity * -3.7744148) + -14.242348)"
15,0.2267805,"(log_observed_velocity * -3.7311282) + ((sin_inclination ^ ((observed_velocity_norm * (log_observed_velocity * sin_inclination)) - sin_inclination)) + -14.398076)"
16,0.22661588,"(sin_inclination ^ abs(((log_observed_velocity * observed_velocity_norm) * sin_inclination) - sin_inclination)) + ((log_observed_velocity * -3.7468345) + -14.356396)"
18,0.22660784,"((log_observed_velocity * -3.7468345) + (sin_inclination ^ abs(((observed_velocity_norm * log_observed_velocity) * sin_inclination) - (sin_inclination / 1.0594547)))) + -14.356396"
