model_name,rank,equation,complexity,loss,score,r2_individual,rmse_individual,r2_overall,rmse_overall
Classic TF,1,−22.863325,1,2.4184,0.0000,2.534×10⁻⁷,1.5551,0.8895,0.5170
Classic TF,2,−20.376057 − log10(v_obs),3,1.4949,0.2405,0.3819,1.2226,0.8895,0.5170
Classic TF,3,√(log10(v_obs)) × (−14.527092),4,0.2673,1.7216,0.8895,0.5170,0.8895,0.5170
Classic TF,4,−12.502441 − (log10(v_obs) × 4.1657),5,0.2325,0.1394,0.9039,0.4822,0.8895,0.5170
Classic TF,5,((√(log10(v_obs)) − log10(v_obs)) × 6.0794) − 17.306345,8,0.2314,0.0016,0.9043,0.4810,0.8895,0.5170
Classic TF,6,log10(v_obs) × ((log10(log10₁₀(log10(v_obs))) − 1.1104) × 4.5085),9,0.2307,0.0030,0.9046,0.4803,0.8895,0.5170
Classic TF,7,(√(log10(v_obs)) × (−15.289 − (0.2667/v_norm))) + 1.5386,10,0.2306,0.0002,0.9046,0.4802,0.8895,0.5170
Classic TF,8,((√(log10(v_obs)) × −15.691) + 2.2859) − ((log10(v_obs)/v_norm) × 0.2360),12,0.2305,0.0002,0.9047,0.4802,0.8895,0.5170
Classic TF,9,((√(log10(v_obs)) × −14.984) + 0.9190) − (((0.2549/v_norm) + 0.4408)/exp(v_norm)),15,0.2303,0.0003,0.9048,0.4799,0.8895,0.5170
Inclination-corrected TF,1,−22.86292,1,2.4184,0.0000,2.534×10⁻⁷,1.5551,0.8895,0.5170
Inclination-corrected TF,2,−20.376057 − log10(v_obs),3,1.4949,0.2405,0.3819,1.2226,0.8895,0.5170
Inclination-corrected TF,3,√(log10(v_obs)) × (−14.527067),4,0.2673,1.7216,0.8895,0.5170,0.8895,0.5170
Inclination-corrected TF,4,(log10(v_obs) × −4.1657) − 12.50244,5,0.2325,0.1394,0.9039,0.4822,0.8895,0.5170
Inclination-corrected TF,5,(log10(v_obs) + 2.9471) × (−4.1929 − sin(i)),7,0.2309,0.0033,0.9045,0.4806,0.8895,0.5170
Inclination-corrected TF,6,((log10(v_obs) × exp(sin(i))) × −4.1917) − 12.289387,8,0.2307,0.0012,0.9046,0.4803,0.8895,0.5170
Inclination-corrected TF,7,(((v_norm × sin(i)) + log10(v_obs)) + 3.1960) × (−4.0050),9,0.2281,0.0113,0.9057,0.4776,0.8895,0.5170
Inclination-corrected TF,8,((v_norm × sin(i)) × −4.3763) + ((log10(v_obs) + 3.2162) × −3.9891),11,0.2280,0.0001,0.9057,0.4775,0.8895,0.5170
Inclination-corrected TF,9,(log10(sin(i)) × (v_norm × sin(i))) + ((log10(v_obs) + 3.2393) × −3.9733),12,0.2280,0.0002,0.9057,0.4775,0.8895,0.5170
Inclination-corrected TF,10,(−3.9281 − (sin(i) × (v_norm/exp(sin(i) × v_norm)))) × (log10(v_obs) + 3.2957),14,0.2279,0.0001,0.9057,0.4774,0.8895,0.5170
Inclination-corrected TF,11,((v_norm × sin(i)) + ((log10(v_obs) + 2.9754) + (0.2766^(log10(v_obs)^1.3151)))) × (−4.1518),15,0.2272,0.0034,0.9061,0.4766,0.8895,0.5170
Inclination-corrected TF,12,(−3.9281 − (sin(i) × (v_norm − (sin(i) × exp(v_norm × 0.3716))))) × (log10(v_obs) + 3.2957),16,0.2270,0.0009,0.9062,0.4764,0.8895,0.5170
Inclination-corrected TF,13,(−3.9170 − (sin(i) × (v_norm − ((exp(v_norm) × (sin(i)^log10(v_obs))) × 0.6631)))) × (log10(v_obs) + 3.3111),18,0.2267,0.0005,0.9062,0.4762,0.8895,0.5170
Inclination-corrected TF,14,(−3.9170 − (sin(i) × (v_norm − ((exp(v_norm) × (sin(i)^log10(v_obs))) × 0.6631)))) × ((log10(v_obs) + 3.3111)^cos(i)),20,0.2267,0.0001,0.9063,0.4761,0.8895,0.5170
