model_name,rank,equation,latex,complexity,loss,score,r2_individual,rmse_individual,r2_overall,rmse_overall
classic_TF,1,-22.863325,$-22.863325$,1,2.4183793,0.0,2.5340799780781964e-07,1.555113918656765,0.889489820261351,0.5169676961319093
classic_TF,2,-20.376057 - log_observed_velocity,$-20.376057 - log_observed_velocity$,3,1.4948723,0.24052840996712976,0.3818703620282379,1.2226497045351952,0.889489820261351,0.5169676961319093
classic_TF,3,sqrt(log_observed_velocity) * -14.527084,$sqrt(log_observed_velocity) * -14.527084$,4,0.26725557,1.7215906725199652,0.8894898321883167,0.5169676682346779,0.889489820261351,0.5169676961319093
classic_TF,4,-12.502464 - (log_observed_velocity * 4.165691),$-12.502464 - (log_observed_velocity * 4.165691)$,5,0.23247308,0.13943095821871043,0.90387239045196,0.4821546225019522,0.889489820261351,0.5169676961319093
classic_TF,5,-14.207461 - ((log_observed_velocity ^ 1.1940839) * 2.9093583),$-14.207461 - ((log_observed_velocity ^ 1.1940839) * 2.9093583)$,7,0.23147051,0.002160977287362927,0.9042869531080086,0.4811138222915654,0.889489820261351,0.5169676961319093
classic_TF,6,-22.040226 - log((observed_velocity_norm ^ 1.8523406) + 0.02551363),$-22.040226 - log((observed_velocity_norm ^ 1.8523406) + 0.02551363)$,8,0.23070088,0.0033304991527447355,0.9046051950831071,0.4803133144105002,0.889489820261351,0.5169676961319093
classic_TF,7,-20.575151 - log(((observed_velocity_norm * log_observed_velocity) + 0.18205018) ^ 1.6363844),$-20.575151 - log(((observed_velocity_norm * log_observed_velocity) + 0.18205018) ^ 1.6363844)$,10,0.230658,9.294283036985784e-05,0.9046229259614411,0.48026867480609226,0.889489820261351,0.5169676961319093
classic_TF,8,log_observed_velocity * (((0.9677666 - (0.32781756 / observed_velocity_norm)) * log_observed_velocity) + -11.056878),$log_observed_velocity * (((0.9677666 - (0.32781756 / observed_velocity_norm)) * log_observed_velocity) + -11.056878)$,11,0.23051023,0.0006408507587667103,0.9046840288507001,0.48011480918630284,0.889489820261351,0.5169676961319093
classic_TF,9,((exp(log_observed_velocity) * (0.02338795 - (0.16547504 / observed_velocity_norm))) + -8.16278) * log_observed_velocity,$((exp(log_observed_velocity) * (0.02338795 - (0.16547504 / observed_velocity_norm))) + -8.16278) * log_observed_velocity$,12,0.2304825,0.00012030558500754445,0.9046954952046227,0.4800859298084042,0.889489820261351,0.5169676961319093
classic_TF,10,((((0.018369257 - (0.13439506 / observed_velocity_norm)) * exp(log_observed_velocity)) + -7.378913) * log_observed_velocity) + -2.4095597,$((((0.018369257 - (0.13439506 / observed_velocity_norm)) * exp(log_observed_velocity)) + -7.378913) * log_observed_velocity) + -2.4095597$,14,0.23037563,0.00023189349380827595,0.9047396859454706,0.4799746139120276,0.889489820261351,0.5169676961319093
inclination_corrected_TF,1,-22.86303,$-22.86303$,1,2.4183793,0.0,2.5340799780781964e-07,1.555113918656765,0.9038723804515777,0.4821546475817935
inclination_corrected_TF,2,-20.376057 - log_observed_velocity,$-20.376057 - log_observed_velocity$,3,1.4948723,0.24052840996712976,0.3818703620282379,1.2226497045351952,0.9038723804515777,0.4821546475817935
inclination_corrected_TF,3,-22.434639 - log(observed_velocity_norm),$-22.434639 - log(observed_velocity_norm)$,4,0.6697347,0.8029144002973785,0.7230647275702903,0.8183732033736197,0.9038723804515777,0.4821546475817935
inclination_corrected_TF,4,(log_observed_velocity * -4.1657047) - 12.50251,$(log_observed_velocity * -4.1657047) - 12.50251$,5,0.23247309,1.058107187425565,0.9038723863169604,0.4821546328720694,0.9038723804515777,0.4821546475817935
inclination_corrected_TF,5,-12.362425 - ((sin_inclination + log_observed_velocity) * 4.1975617),$-12.362425 - ((sin_inclination + log_observed_velocity) * 4.1975617)$,7,0.23121694,0.0027090361915019694,0.9043918042931569,0.4808502261619516,0.9038723804515777,0.4821546475817935
inclination_corrected_TF,6,-12.247707 - (log_observed_velocity * (sqrt(sin_inclination) + 4.1521025)),$-12.247707 - (log_observed_velocity * (sqrt(sin_inclination) + 4.1521025))$,8,0.23056172,0.0028378116897681493,0.9046627377377006,0.48016842878306776,0.9038723804515777,0.4821546475817935
inclination_corrected_TF,7,-12.798342 - ((log_observed_velocity + (sin_inclination * observed_velocity_norm)) * 4.0053024),$-12.798342 - ((log_observed_velocity + (sin_inclination * observed_velocity_norm)) * 4.0053024)$,9,0.22807068,0.010863011406171574,0.9056927826809196,0.47756746120312676,0.9038723804515777,0.4821546475817935
inclination_corrected_TF,8,((log_observed_velocity * -3.9890082) + -12.829614) - ((observed_velocity_norm * inclination) / 13.0669775),$((log_observed_velocity * -3.9890082) + -12.829614) - ((observed_velocity_norm * inclination) / 13.0669775)$,11,0.22803895,6.956660847345485e-05,0.9057059030346868,0.4775342396101038,0.9038723804515777,0.4821546475817935
inclination_corrected_TF,9,((log_observed_velocity * -3.96558) + -12.883626) - (((inclination ^ 0.8192407) / 13.232137) * observed_velocity_norm),$((log_observed_velocity * -3.96558) + -12.883626) - (((inclination ^ 0.8192407) / 13.232137) * observed_velocity_norm)$,13,0.22791795,0.0002653759661065102,0.9057559365299858,0.4774075303134629,0.9038723804515777,0.4821546475817935
inclination_corrected_TF,10,-12.747012 - (((sin_inclination * (observed_velocity_norm - (log10(observed_velocity_norm) / observed_velocity_norm))) + log_observed_velocity) * 4.0201025),$-12.747012 - (((sin_inclination * (observed_velocity_norm - (log10(observed_velocity_norm) / observed_velocity_norm))) + log_observed_velocity) * 4.0201025)$,14,0.22745778,0.002021057014333799,0.9059462168071074,0.476925340069072,0.9038723804515777,0.4821546475817935
inclination_corrected_TF,11,((log_observed_velocity * -4.16077) + -12.346088) - (((inclination * observed_velocity_norm) - (-1.2433662 / observed_velocity_norm)) / 15.215205),$((log_observed_velocity * -4.16077) + -12.346088) - (((inclination * observed_velocity_norm) - (-1.2433662 / observed_velocity_norm)) / 15.215205)$,15,0.22711633,0.0015022855754680934,0.9060874063688414,0.47656723555024216,0.9038723804515777,0.4821546475817935
inclination_corrected_TF,12,(log_observed_velocity * -4.0587716) + (-12.656885 - (((observed_velocity_norm * inclination) - (log10(observed_velocity_norm) / observed_velocity_norm)) / 13.7082615)),$(log_observed_velocity * -4.0587716) + (-12.656885 - (((observed_velocity_norm * inclination) - (log10(observed_velocity_norm) / observed_velocity_norm)) / 13.7082615))$,16,0.22700705,0.00048127890754880756,0.9061325936445958,0.4764525684682579,0.9038723804515777,0.4821546475817935
